attribution_model,journey_id,channel,campaign,attributed_conversions,attributed_revenue
Linear,J00027,Meta Ads,lookalike_1pct,0.14285714285714285,18.13142857142857
Linear,J00027,Organic Search,how_to_guide,0.14285714285714285,18.13142857142857
Linear,J00027,TikTok Ads,ugc_demo,0.14285714285714285,18.13142857142857
Linear,J00027,LinkedIn Ads,decision_makers,0.14285714285714285,18.13142857142857
Linear,J00027,Referral,partner_site,0.14285714285714285,18.13142857142857
Linear,J00027,TikTok Ads,creator_spark,0.14285714285714285,18.13142857142857
Linear,J00027,Direct,direct_visit,0.14285714285714285,18.13142857142857
Linear,J00029,Meta Ads,interest_stack,0.3333333333333333,31.02
Linear,J00029,Meta Ads,interest_stack,0.3333333333333333,31.02
Linear,J00029,Google Ads,high_intent_keywords,0.3333333333333333,31.02
Linear,J00031,Google Ads,competitor_search,0.2,24.080000000000002
Linear,J00031,Referral,partner_site,0.2,24.080000000000002
Linear,J00031,Meta Ads,lookalike_1pct,0.2,24.080000000000002
Linear,J00031,Organic Search,how_to_guide,0.2,24.080000000000002
Linear,J00031,Google Ads,brand_search,0.2,24.080000000000002
Linear,J00033,Direct,direct_visit,0.25,32.8
Linear,J00033,LinkedIn Ads,b2b_leads,0.25,32.8
Linear,J00033,Email,newsletter,0.25,32.8
Linear,J00033,Direct,typed_url,0.25,32.8
Linear,J00034,Meta Ads,retargeting,0.16666666666666666,45.596666666666664
Linear,J00034,Organic Search,how_to_guide,0.16666666666666666,45.596666666666664
Linear,J00034,Organic Search,how_to_guide,0.16666666666666666,45.596666666666664
Linear,J00034,TikTok Ads,ugc_demo,0.16666666666666666,45.596666666666664
Linear,J00034,Meta Ads,interest_stack,0.16666666666666666,45.596666666666664
Linear,J00034,Google Ads,high_intent_keywords,0.16666666666666666,45.596666666666664
Linear,J00035,TikTok Ads,short_video_awareness,0.5,49.375
Linear,J00035,Direct,saved_link,0.5,49.375
Linear,J00036,TikTok Ads,creator_spark,0.16666666666666666,19.691666666666666
Linear,J00036,Google Ads,brand_search,0.16666666666666666,19.691666666666666
Linear,J00036,LinkedIn Ads,saas_trial,0.16666666666666666,19.691666666666666
Linear,J00036,LinkedIn Ads,b2b_leads,0.16666666666666666,19.691666666666666
Linear,J00036,Google Ads,competitor_search,0.16666666666666666,19.691666666666666
Linear,J00036,Organic Search,seo_blog,0.16666666666666666,19.691666666666666
Linear,J00037,LinkedIn Ads,b2b_leads,0.2,55.072
Linear,J00037,Google Ads,competitor_search,0.2,55.072
Linear,J00037,Google Ads,high_intent_keywords,0.2,55.072
Linear,J00037,Email,trial_nurture,0.2,55.072
Linear,J00037,Google Ads,high_intent_keywords,0.2,55.072
Linear,J00039,Google Ads,brand_search,0.2,78.33200000000001
Linear,J00039,Meta Ads,lookalike_1pct,0.2,78.33200000000001
Linear,J00039,Email,newsletter,0.2,78.33200000000001
Linear,J00039,Google Ads,brand_search,0.2,78.33200000000001
Linear,J00039,Email,abandoned_cart,0.2,78.33200000000001
Linear,J00040,Google Ads,high_intent_keywords,0.14285714285714285,13.964285714285714
Linear,J00040,Meta Ads,interest_stack,0.14285714285714285,13.964285714285714
Linear,J00040,Referral,partner_site,0.14285714285714285,13.964285714285714
Linear,J00040,TikTok Ads,short_video_awareness,0.14285714285714285,13.964285714285714
Linear,J00040,Google Ads,high_intent_keywords,0.14285714285714285,13.964285714285714
Linear,J00040,Email,newsletter,0.14285714285714285,13.964285714285714
Linear,J00040,Email,abandoned_cart,0.14285714285714285,13.964285714285714
Linear,J00041,TikTok Ads,ugc_demo,0.3333333333333333,30.383333333333336
Linear,J00041,Organic Search,comparison_page,0.3333333333333333,30.383333333333336
Linear,J00041,Email,abandoned_cart,0.3333333333333333,30.383333333333336
Linear,J00042,TikTok Ads,ugc_demo,0.5,61.58
Linear,J00042,Google Ads,high_intent_keywords,0.5,61.58
Linear,J00043,Direct,direct_visit,0.2,24.596
Linear,J00043,Meta Ads,lookalike_1pct,0.2,24.596
Linear,J00043,Meta Ads,interest_stack,0.2,24.596
Linear,J00043,Google Ads,brand_search,0.2,24.596
Linear,J00043,Direct,direct_visit,0.2,24.596
Linear,J00045,Organic Search,how_to_guide,0.16666666666666666,16.136666666666667
Linear,J00045,Google Ads,brand_search,0.16666666666666666,16.136666666666667
Linear,J00045,Direct,typed_url,0.16666666666666666,16.136666666666667
Linear,J00045,Google Ads,competitor_search,0.16666666666666666,16.136666666666667
Linear,J00045,Organic Search,how_to_guide,0.16666666666666666,16.136666666666667
Linear,J00045,Referral,partner_site,0.16666666666666666,16.136666666666667
Linear,J00059,TikTok Ads,short_video_awareness,0.3333333333333333,129.35666666666665
Linear,J00059,LinkedIn Ads,decision_makers,0.3333333333333333,129.35666666666665
Linear,J00059,Google Ads,brand_search,0.3333333333333333,129.35666666666665
Linear,J00060,Referral,software_review,0.25,84.1075
Linear,J00060,Meta Ads,retargeting,0.25,84.1075
Linear,J00060,Referral,software_review,0.25,84.1075
Linear,J00060,Direct,saved_link,0.25,84.1075
Linear,J00063,LinkedIn Ads,b2b_leads,0.25,88.965
Linear,J00063,Google Ads,high_intent_keywords,0.25,88.965
Linear,J00063,Google Ads,brand_search,0.25,88.965
Linear,J00063,Google Ads,competitor_search,0.25,88.965
Linear,J00066,TikTok Ads,short_video_awareness,0.25,239.045
Linear,J00066,Meta Ads,retargeting,0.25,239.045
Linear,J00066,LinkedIn Ads,b2b_leads,0.25,239.045
Linear,J00066,Google Ads,competitor_search,0.25,239.045
Linear,J00067,Organic Search,how_to_guide,0.2,221.30599999999998
Linear,J00067,Referral,affiliate_blog,0.2,221.30599999999998
Linear,J00067,Meta Ads,interest_stack,0.2,221.30599999999998
Linear,J00067,LinkedIn Ads,saas_trial,0.2,221.30599999999998
Linear,J00067,Google Ads,high_intent_keywords,0.2,221.30599999999998
Linear,J00068,Meta Ads,retargeting,0.3333333333333333,120.59666666666668
Linear,J00068,Organic Search,how_to_guide,0.3333333333333333,120.59666666666668
Linear,J00068,Organic Search,comparison_page,0.3333333333333333,120.59666666666668
Linear,J00069,Google Ads,high_intent_keywords,0.3333333333333333,380.43666666666667
Linear,J00069,Google Ads,brand_search,0.3333333333333333,380.43666666666667
Linear,J00069,Organic Search,how_to_guide,0.3333333333333333,380.43666666666667
Linear,J00071,TikTok Ads,ugc_demo,0.5,51.31
Linear,J00071,Referral,partner_site,0.5,51.31
Linear,J00077,Organic Search,comparison_page,0.2,24.938
Linear,J00077,Organic Search,how_to_guide,0.2,24.938
Linear,J00077,Email,abandoned_cart,0.2,24.938
Linear,J00077,Email,newsletter,0.2,24.938
Linear,J00077,Email,abandoned_cart,0.2,24.938
Linear,J00078,TikTok Ads,ugc_demo,0.5,155.04
Linear,J00078,Direct,direct_visit,0.5,155.04
Linear,J00080,TikTok Ads,ugc_demo,0.3333333333333333,114.22666666666667
Linear,J00080,Google Ads,high_intent_keywords,0.3333333333333333,114.22666666666667
Linear,J00080,Direct,typed_url,0.3333333333333333,114.22666666666667
Linear,J00081,LinkedIn Ads,saas_trial,0.3333333333333333,130.49666666666667
Linear,J00081,Organic Search,how_to_guide,0.3333333333333333,130.49666666666667
Linear,J00081,LinkedIn Ads,decision_makers,0.3333333333333333,130.49666666666667
Linear,J00084,TikTok Ads,ugc_demo,0.25,28.3125
Linear,J00084,Google Ads,competitor_search,0.25,28.3125
Linear,J00084,Email,abandoned_cart,0.25,28.3125
Linear,J00084,Organic Search,seo_blog,0.25,28.3125
Linear,J00086,Meta Ads,interest_stack,0.25,268.4175
Linear,J00086,Google Ads,high_intent_keywords,0.25,268.4175
Linear,J00086,Meta Ads,interest_stack,0.25,268.4175
Linear,J00086,Email,abandoned_cart,0.25,268.4175
Linear,J00091,Organic Search,seo_blog,0.16666666666666666,60.83833333333333
Linear,J00091,LinkedIn Ads,decision_makers,0.16666666666666666,60.83833333333333
Linear,J00091,Direct,direct_visit,0.16666666666666666,60.83833333333333
Linear,J00091,Organic Search,how_to_guide,0.16666666666666666,60.83833333333333
Linear,J00091,LinkedIn Ads,saas_trial,0.16666666666666666,60.83833333333333
Linear,J00091,Organic Search,seo_blog,0.16666666666666666,60.83833333333333
Linear,J00093,Meta Ads,lookalike_1pct,0.2,24.152
Linear,J00093,Organic Search,seo_blog,0.2,24.152
Linear,J00093,Email,abandoned_cart,0.2,24.152
Linear,J00093,Organic Search,comparison_page,0.2,24.152
Linear,J00093,Email,newsletter,0.2,24.152
Linear,J00095,TikTok Ads,creator_spark,0.14285714285714285,12.875714285714285
Linear,J00095,Organic Search,how_to_guide,0.14285714285714285,12.875714285714285
Linear,J00095,Google Ads,brand_search,0.14285714285714285,12.875714285714285
Linear,J00095,Referral,affiliate_blog,0.14285714285714285,12.875714285714285
Linear,J00095,Google Ads,brand_search,0.14285714285714285,12.875714285714285
Linear,J00095,Meta Ads,lookalike_1pct,0.14285714285714285,12.875714285714285
Linear,J00095,Direct,direct_visit,0.14285714285714285,12.875714285714285
Linear,J00099,Referral,software_review,0.5,59.24
Linear,J00099,Google Ads,high_intent_keywords,0.5,59.24
Linear,J00101,Organic Search,comparison_page,0.25,66.2925
Linear,J00101,TikTok Ads,short_video_awareness,0.25,66.2925
Linear,J00101,Referral,software_review,0.25,66.2925
Linear,J00101,LinkedIn Ads,b2b_leads,0.25,66.2925
Linear,J00108,TikTok Ads,short_video_awareness,0.3333333333333333,290.96666666666664
Linear,J00108,Google Ads,competitor_search,0.3333333333333333,290.96666666666664
Linear,J00108,Direct,direct_visit,0.3333333333333333,290.96666666666664
Linear,J00111,Meta Ads,interest_stack,0.25,70.8075
Linear,J00111,Referral,software_review,0.25,70.8075
Linear,J00111,Direct,direct_visit,0.25,70.8075
Linear,J00111,Organic Search,seo_blog,0.25,70.8075
Linear,J00115,Meta Ads,retargeting,0.3333333333333333,35.08
Linear,J00115,Direct,typed_url,0.3333333333333333,35.08
Linear,J00115,Google Ads,competitor_search,0.3333333333333333,35.08
Linear,J00118,Google Ads,high_intent_keywords,0.25,21.04
Linear,J00118,Referral,software_review,0.25,21.04
Linear,J00118,Organic Search,how_to_guide,0.25,21.04
Linear,J00118,Google Ads,high_intent_keywords,0.25,21.04
Linear,J00119,Organic Search,seo_blog,0.14285714285714285,17.09
Linear,J00119,Direct,direct_visit,0.14285714285714285,17.09
Linear,J00119,LinkedIn Ads,saas_trial,0.14285714285714285,17.09
Linear,J00119,Google Ads,competitor_search,0.14285714285714285,17.09
Linear,J00119,Email,abandoned_cart,0.14285714285714285,17.09
Linear,J00119,LinkedIn Ads,saas_trial,0.14285714285714285,17.09
Linear,J00119,Organic Search,seo_blog,0.14285714285714285,17.09
Linear,J00120,Referral,partner_site,0.25,90.145
Linear,J00120,TikTok Ads,ugc_demo,0.25,90.145
Linear,J00120,Organic Search,comparison_page,0.25,90.145
Linear,J00120,Direct,typed_url,0.25,90.145
Linear,J00121,Meta Ads,retargeting,0.16666666666666666,19.555
Linear,J00121,Meta Ads,interest_stack,0.16666666666666666,19.555
Linear,J00121,Email,newsletter,0.16666666666666666,19.555
Linear,J00121,Referral,software_review,0.16666666666666666,19.555
Linear,J00121,Google Ads,competitor_search,0.16666666666666666,19.555
Linear,J00121,Organic Search,comparison_page,0.16666666666666666,19.555
Linear,J00123,Meta Ads,interest_stack,0.2,182.592
Linear,J00123,LinkedIn Ads,saas_trial,0.2,182.592
Linear,J00123,Meta Ads,interest_stack,0.2,182.592
Linear,J00123,Organic Search,comparison_page,0.2,182.592
Linear,J00123,Google Ads,brand_search,0.2,182.592
Linear,J00124,Organic Search,comparison_page,0.25,31.91
Linear,J00124,Organic Search,seo_blog,0.25,31.91
Linear,J00124,Google Ads,brand_search,0.25,31.91
Linear,J00124,Google Ads,high_intent_keywords,0.25,31.91
Linear,J00126,LinkedIn Ads,saas_trial,0.25,30.9075
Linear,J00126,Direct,direct_visit,0.25,30.9075
Linear,J00126,Email,newsletter,0.25,30.9075
Linear,J00126,Direct,typed_url,0.25,30.9075
Linear,J00127,TikTok Ads,ugc_demo,0.25,100.7
Linear,J00127,Email,trial_nurture,0.25,100.7
Linear,J00127,Google Ads,brand_search,0.25,100.7
Linear,J00127,Email,abandoned_cart,0.25,100.7
Linear,J00133,Direct,typed_url,0.2,18.834
Linear,J00133,Direct,typed_url,0.2,18.834
Linear,J00133,LinkedIn Ads,b2b_leads,0.2,18.834
Linear,J00133,TikTok Ads,creator_spark,0.2,18.834
Linear,J00133,Email,abandoned_cart,0.2,18.834
Linear,J00137,Organic Search,seo_blog,0.3333333333333333,36.593333333333334
Linear,J00137,Email,trial_nurture,0.3333333333333333,36.593333333333334
Linear,J00137,Google Ads,brand_search,0.3333333333333333,36.593333333333334
Linear,J00140,Google Ads,high_intent_keywords,0.5,54.27
Linear,J00140,Referral,partner_site,0.5,54.27
Linear,J00143,Organic Search,comparison_page,0.2,56.048
Linear,J00143,Google Ads,high_intent_keywords,0.2,56.048
Linear,J00143,Email,abandoned_cart,0.2,56.048
Linear,J00143,Meta Ads,interest_stack,0.2,56.048
Linear,J00143,LinkedIn Ads,decision_makers,0.2,56.048
Linear,J00151,Organic Search,comparison_page,0.25,295.3675
Linear,J00151,TikTok Ads,ugc_demo,0.25,295.3675
Linear,J00151,Meta Ads,retargeting,0.25,295.3675
Linear,J00151,Email,newsletter,0.25,295.3675
Linear,J00154,Direct,typed_url,0.25,85.075
Linear,J00154,Google Ads,brand_search,0.25,85.075
Linear,J00154,Organic Search,how_to_guide,0.25,85.075
Linear,J00154,Google Ads,brand_search,0.25,85.075
Linear,J00155,Organic Search,seo_blog,0.2,63.74400000000001
Linear,J00155,Google Ads,competitor_search,0.2,63.74400000000001
Linear,J00155,Organic Search,comparison_page,0.2,63.74400000000001
Linear,J00155,Email,abandoned_cart,0.2,63.74400000000001
Linear,J00155,Direct,direct_visit,0.2,63.74400000000001
Linear,J00156,Organic Search,how_to_guide,0.3333333333333333,41.60666666666666
Linear,J00156,Organic Search,seo_blog,0.3333333333333333,41.60666666666666
Linear,J00156,Direct,saved_link,0.3333333333333333,41.60666666666666
Linear,J00158,Organic Search,how_to_guide,1.0,87.45
Linear,J00161,TikTok Ads,ugc_demo,0.2,189.802
Linear,J00161,Organic Search,how_to_guide,0.2,189.802
Linear,J00161,Meta Ads,interest_stack,0.2,189.802
Linear,J00161,Direct,saved_link,0.2,189.802
Linear,J00161,Google Ads,brand_search,0.2,189.802
Linear,J00164,Meta Ads,lookalike_1pct,0.25,21.58
Linear,J00164,Meta Ads,interest_stack,0.25,21.58
Linear,J00164,Google Ads,competitor_search,0.25,21.58
Linear,J00164,Direct,direct_visit,0.25,21.58
Linear,J00166,TikTok Ads,creator_spark,0.16666666666666666,43.97666666666667
Linear,J00166,Email,newsletter,0.16666666666666666,43.97666666666667
Linear,J00166,Email,trial_nurture,0.16666666666666666,43.97666666666667
Linear,J00166,Email,abandoned_cart,0.16666666666666666,43.97666666666667
Linear,J00166,Google Ads,brand_search,0.16666666666666666,43.97666666666667
Linear,J00166,Email,trial_nurture,0.16666666666666666,43.97666666666667
Linear,J00167,Google Ads,high_intent_keywords,0.25,25.045
Linear,J00167,Meta Ads,lookalike_1pct,0.25,25.045
Linear,J00167,LinkedIn Ads,saas_trial,0.25,25.045
Linear,J00167,Organic Search,how_to_guide,0.25,25.045
Linear,J00169,TikTok Ads,short_video_awareness,0.16666666666666666,14.788333333333334
Linear,J00169,Organic Search,seo_blog,0.16666666666666666,14.788333333333334
Linear,J00169,Organic Search,comparison_page,0.16666666666666666,14.788333333333334
Linear,J00169,Referral,partner_site,0.16666666666666666,14.788333333333334
Linear,J00169,Email,abandoned_cart,0.16666666666666666,14.788333333333334
Linear,J00169,Google Ads,competitor_search,0.16666666666666666,14.788333333333334
Linear,J00170,Meta Ads,interest_stack,0.3333333333333333,33.306666666666665
Linear,J00170,TikTok Ads,short_video_awareness,0.3333333333333333,33.306666666666665
Linear,J00170,Google Ads,competitor_search,0.3333333333333333,33.306666666666665
Linear,J00175,Organic Search,comparison_page,0.2,63.512
Linear,J00175,Email,abandoned_cart,0.2,63.512
Linear,J00175,TikTok Ads,creator_spark,0.2,63.512
Linear,J00175,Google Ads,high_intent_keywords,0.2,63.512
Linear,J00175,Google Ads,high_intent_keywords,0.2,63.512
Linear,J00176,TikTok Ads,short_video_awareness,0.3333333333333333,40.156666666666666
Linear,J00176,Organic Search,comparison_page,0.3333333333333333,40.156666666666666
Linear,J00176,Google Ads,competitor_search,0.3333333333333333,40.156666666666666
Linear,J00178,Google Ads,brand_search,0.2,61.08200000000001
Linear,J00178,LinkedIn Ads,saas_trial,0.2,61.08200000000001
Linear,J00178,Meta Ads,retargeting,0.2,61.08200000000001
Linear,J00178,Referral,partner_site,0.2,61.08200000000001
Linear,J00178,Google Ads,high_intent_keywords,0.2,61.08200000000001
Linear,J00180,Google Ads,high_intent_keywords,1.0,96.62
Linear,J00182,Google Ads,competitor_search,1.0,84.19
Linear,J00185,Organic Search,comparison_page,0.25,25.2175
Linear,J00185,LinkedIn Ads,saas_trial,0.25,25.2175
Linear,J00185,Organic Search,comparison_page,0.25,25.2175
Linear,J00185,Google Ads,brand_search,0.25,25.2175
Linear,J00188,Direct,typed_url,1.0,286.93
Linear,J00189,Meta Ads,lookalike_1pct,0.5,175.28
Linear,J00189,Email,newsletter,0.5,175.28
Linear,J00193,Google Ads,competitor_search,0.2,20.125999999999998
Linear,J00193,Organic Search,how_to_guide,0.2,20.125999999999998
Linear,J00193,Direct,direct_visit,0.2,20.125999999999998
Linear,J00193,TikTok Ads,ugc_demo,0.2,20.125999999999998
Linear,J00193,Email,abandoned_cart,0.2,20.125999999999998
Linear,J00198,LinkedIn Ads,b2b_leads,0.25,28.9725
Linear,J00198,Organic Search,seo_blog,0.25,28.9725
Linear,J00198,Email,newsletter,0.25,28.9725
Linear,J00198,Google Ads,competitor_search,0.25,28.9725
Linear,J00202,Meta Ads,interest_stack,0.25,75.595
Linear,J00202,Email,newsletter,0.25,75.595
Linear,J00202,TikTok Ads,creator_spark,0.25,75.595
Linear,J00202,Direct,typed_url,0.25,75.595
Linear,J00210,Referral,affiliate_blog,0.5,56.74
Linear,J00210,Google Ads,competitor_search,0.5,56.74
Linear,J00212,Email,abandoned_cart,0.2,21.932
Linear,J00212,LinkedIn Ads,saas_trial,0.2,21.932
Linear,J00212,Organic Search,comparison_page,0.2,21.932
Linear,J00212,Meta Ads,interest_stack,0.2,21.932
Linear,J00212,Google Ads,competitor_search,0.2,21.932
Linear,J00213,Referral,software_review,0.2,65.342
Linear,J00213,Meta Ads,lookalike_1pct,0.2,65.342
Linear,J00213,Direct,direct_visit,0.2,65.342
Linear,J00213,Referral,software_review,0.2,65.342
Linear,J00213,Google Ads,high_intent_keywords,0.2,65.342
Linear,J00231,TikTok Ads,short_video_awareness,0.3333333333333333,117.62333333333333
Linear,J00231,Organic Search,comparison_page,0.3333333333333333,117.62333333333333
Linear,J00231,LinkedIn Ads,saas_trial,0.3333333333333333,117.62333333333333
Linear,J00234,Direct,typed_url,0.25,30.675
Linear,J00234,Referral,software_review,0.25,30.675
Linear,J00234,Organic Search,seo_blog,0.25,30.675
Linear,J00234,Organic Search,how_to_guide,0.25,30.675
Linear,J00235,TikTok Ads,creator_spark,0.3333333333333333,33.053333333333335
Linear,J00235,Meta Ads,retargeting,0.3333333333333333,33.053333333333335
Linear,J00235,Email,trial_nurture,0.3333333333333333,33.053333333333335
Linear,J00238,Meta Ads,retargeting,0.5,446.21
Linear,J00238,Direct,direct_visit,0.5,446.21
Linear,J00239,Organic Search,how_to_guide,0.3333333333333333,94.81
Linear,J00239,Referral,software_review,0.3333333333333333,94.81
Linear,J00239,Email,trial_nurture,0.3333333333333333,94.81
Linear,J00243,Google Ads,high_intent_keywords,0.2,76.176
Linear,J00243,Organic Search,how_to_guide,0.2,76.176
Linear,J00243,Google Ads,high_intent_keywords,0.2,76.176
Linear,J00243,Meta Ads,lookalike_1pct,0.2,76.176
Linear,J00243,Email,newsletter,0.2,76.176
Linear,J00244,Referral,software_review,0.5,61.805
Linear,J00244,Google Ads,competitor_search,0.5,61.805
Linear,J00246,TikTok Ads,ugc_demo,0.5,50.87
Linear,J00246,Google Ads,competitor_search,0.5,50.87
Linear,J00247,Organic Search,how_to_guide,0.5,144.82
Linear,J00247,Direct,direct_visit,0.5,144.82
Linear,J00250,Referral,affiliate_blog,0.3333333333333333,276.3566666666667
Linear,J00250,Email,abandoned_cart,0.3333333333333333,276.3566666666667
Linear,J00250,Direct,saved_link,0.3333333333333333,276.3566666666667
Linear,J00251,Google Ads,high_intent_keywords,0.3333333333333333,38.99666666666666
Linear,J00251,Email,newsletter,0.3333333333333333,38.99666666666666
Linear,J00251,Google Ads,competitor_search,0.3333333333333333,38.99666666666666
Linear,J00252,Organic Search,comparison_page,0.3333333333333333,88.94
Linear,J00252,LinkedIn Ads,saas_trial,0.3333333333333333,88.94
Linear,J00252,Email,trial_nurture,0.3333333333333333,88.94
Linear,J00253,Google Ads,brand_search,0.2,78.536
Linear,J00253,Meta Ads,interest_stack,0.2,78.536
Linear,J00253,Meta Ads,lookalike_1pct,0.2,78.536
Linear,J00253,LinkedIn Ads,saas_trial,0.2,78.536
Linear,J00253,Google Ads,high_intent_keywords,0.2,78.536
Linear,J00255,Meta Ads,lookalike_1pct,0.2,25.96
Linear,J00255,Meta Ads,retargeting,0.2,25.96
Linear,J00255,Meta Ads,interest_stack,0.2,25.96
Linear,J00255,Meta Ads,lookalike_1pct,0.2,25.96
Linear,J00255,Google Ads,high_intent_keywords,0.2,25.96
Linear,J00256,Meta Ads,interest_stack,0.14285714285714285,165.06
Linear,J00256,Organic Search,comparison_page,0.14285714285714285,165.06
Linear,J00256,Google Ads,competitor_search,0.14285714285714285,165.06
Linear,J00256,Google Ads,brand_search,0.14285714285714285,165.06
Linear,J00256,Email,newsletter,0.14285714285714285,165.06
Linear,J00256,Direct,direct_visit,0.14285714285714285,165.06
Linear,J00256,Direct,direct_visit,0.14285714285714285,165.06
Linear,J00257,TikTok Ads,creator_spark,0.2,18.03
Linear,J00257,LinkedIn Ads,b2b_leads,0.2,18.03
Linear,J00257,Google Ads,competitor_search,0.2,18.03
Linear,J00257,LinkedIn Ads,b2b_leads,0.2,18.03
Linear,J00257,Google Ads,brand_search,0.2,18.03
Linear,J00258,Email,newsletter,0.3333333333333333,28.62
Linear,J00258,Organic Search,seo_blog,0.3333333333333333,28.62
Linear,J00258,Google Ads,competitor_search,0.3333333333333333,28.62
Linear,J00260,Google Ads,brand_search,0.16666666666666666,19.419999999999998
Linear,J00260,TikTok Ads,creator_spark,0.16666666666666666,19.419999999999998
Linear,J00260,Email,abandoned_cart,0.16666666666666666,19.419999999999998
Linear,J00260,LinkedIn Ads,saas_trial,0.16666666666666666,19.419999999999998
Linear,J00260,Referral,partner_site,0.16666666666666666,19.419999999999998
Linear,J00260,Email,trial_nurture,0.16666666666666666,19.419999999999998
Linear,J00262,Organic Search,comparison_page,0.2,17.222
Linear,J00262,Meta Ads,interest_stack,0.2,17.222
Linear,J00262,Meta Ads,lookalike_1pct,0.2,17.222
Linear,J00262,Referral,affiliate_blog,0.2,17.222
Linear,J00262,Email,newsletter,0.2,17.222
Linear,J00266,Organic Search,how_to_guide,0.16666666666666666,159.33833333333334
Linear,J00266,Direct,typed_url,0.16666666666666666,159.33833333333334
Linear,J00266,Google Ads,high_intent_keywords,0.16666666666666666,159.33833333333334
Linear,J00266,Organic Search,seo_blog,0.16666666666666666,159.33833333333334
Linear,J00266,LinkedIn Ads,decision_makers,0.16666666666666666,159.33833333333334
Linear,J00266,Email,abandoned_cart,0.16666666666666666,159.33833333333334
Linear,J00267,Google Ads,brand_search,1.0,1050.23
Linear,J00270,TikTok Ads,ugc_demo,0.25,32.8575
Linear,J00270,Google Ads,competitor_search,0.25,32.8575
Linear,J00270,Meta Ads,lookalike_1pct,0.25,32.8575
Linear,J00270,Direct,saved_link,0.25,32.8575
Linear,J00272,Meta Ads,lookalike_1pct,0.5,58.905
Linear,J00272,Email,abandoned_cart,0.5,58.905
Linear,J00273,Organic Search,seo_blog,0.25,23.645
Linear,J00273,Referral,partner_site,0.25,23.645
Linear,J00273,Organic Search,comparison_page,0.25,23.645
Linear,J00273,Organic Search,seo_blog,0.25,23.645
Linear,J00281,Organic Search,how_to_guide,0.25,229.8275
Linear,J00281,Organic Search,how_to_guide,0.25,229.8275
Linear,J00281,Organic Search,seo_blog,0.25,229.8275
Linear,J00281,LinkedIn Ads,decision_makers,0.25,229.8275
Linear,J00282,Meta Ads,retargeting,0.25,78.73
Linear,J00282,Google Ads,competitor_search,0.25,78.73
Linear,J00282,Referral,affiliate_blog,0.25,78.73
Linear,J00282,Email,newsletter,0.25,78.73
Linear,J00285,Organic Search,seo_blog,0.3333333333333333,38.660000000000004
Linear,J00285,Google Ads,competitor_search,0.3333333333333333,38.660000000000004
Linear,J00285,Meta Ads,retargeting,0.3333333333333333,38.660000000000004
Linear,J00286,TikTok Ads,creator_spark,0.16666666666666666,17.113333333333333
Linear,J00286,Google Ads,high_intent_keywords,0.16666666666666666,17.113333333333333
Linear,J00286,Google Ads,competitor_search,0.16666666666666666,17.113333333333333
Linear,J00286,Referral,software_review,0.16666666666666666,17.113333333333333
Linear,J00286,Organic Search,seo_blog,0.16666666666666666,17.113333333333333
Linear,J00286,Google Ads,brand_search,0.16666666666666666,17.113333333333333
Linear,J00287,TikTok Ads,short_video_awareness,0.2,59.486000000000004
Linear,J00287,Organic Search,comparison_page,0.2,59.486000000000004
Linear,J00287,Organic Search,seo_blog,0.2,59.486000000000004
Linear,J00287,Google Ads,brand_search,0.2,59.486000000000004
Linear,J00287,Email,newsletter,0.2,59.486000000000004
Linear,J00288,Meta Ads,lookalike_1pct,0.25,73.6
Linear,J00288,Organic Search,comparison_page,0.25,73.6
Linear,J00288,LinkedIn Ads,decision_makers,0.25,73.6
Linear,J00288,Organic Search,seo_blog,0.25,73.6
Linear,J00290,Direct,typed_url,0.14285714285714285,55.03857142857142
Linear,J00290,LinkedIn Ads,decision_makers,0.14285714285714285,55.03857142857142
Linear,J00290,Meta Ads,retargeting,0.14285714285714285,55.03857142857142
Linear,J00290,Organic Search,comparison_page,0.14285714285714285,55.03857142857142
Linear,J00290,Google Ads,high_intent_keywords,0.14285714285714285,55.03857142857142
Linear,J00290,Meta Ads,retargeting,0.14285714285714285,55.03857142857142
Linear,J00290,Organic Search,how_to_guide,0.14285714285714285,55.03857142857142
Linear,J00293,TikTok Ads,ugc_demo,0.3333333333333333,35.086666666666666
Linear,J00293,Google Ads,competitor_search,0.3333333333333333,35.086666666666666
Linear,J00293,Google Ads,brand_search,0.3333333333333333,35.086666666666666
Linear,J00294,Direct,direct_visit,0.2,24.35
Linear,J00294,Email,trial_nurture,0.2,24.35
Linear,J00294,Email,trial_nurture,0.2,24.35
Linear,J00294,Google Ads,high_intent_keywords,0.2,24.35
Linear,J00294,Google Ads,brand_search,0.2,24.35
Linear,J00295,LinkedIn Ads,saas_trial,0.25,83.365
Linear,J00295,Meta Ads,retargeting,0.25,83.365
Linear,J00295,Direct,direct_visit,0.25,83.365
Linear,J00295,Google Ads,competitor_search,0.25,83.365
Linear,J00296,Referral,partner_site,0.14285714285714285,15.424285714285714
Linear,J00296,Meta Ads,lookalike_1pct,0.14285714285714285,15.424285714285714
Linear,J00296,Google Ads,high_intent_keywords,0.14285714285714285,15.424285714285714
Linear,J00296,Google Ads,competitor_search,0.14285714285714285,15.424285714285714
Linear,J00296,Referral,affiliate_blog,0.14285714285714285,15.424285714285714
Linear,J00296,LinkedIn Ads,saas_trial,0.14285714285714285,15.424285714285714
Linear,J00296,Direct,typed_url,0.14285714285714285,15.424285714285714
Linear,J00297,TikTok Ads,creator_spark,0.2,51.732000000000006
